CMS_cert_no,Fac_name,City,State,Zip,Region,year,N,cost_charge,wage_indx,Rural,dis_share,census,ownership,teaching,freestanding,avg_wt,I_001_01,I_001_01.note,I_001_01.denom,I_001_01.start,I_001_01.end,I_001_02,I_001_02.note,I_001_02.denom,I_001_02.numer,I_001_02.obs,I_001_02.start,I_001_02.end,I_002_01.obs,I_002_01.note,I_002_01.denom,I_002_01.numer,I_002_01.start,I_002_01.end,I_006_01,I_006_01.note,I_006_01.cilo,I_006_01.ciup,I_006_01.grade,I_006_01.days,I_006_01.N,I_006_01.numer,I_006_01.start,I_006_01.end,I_007_01,I_007_01.note,I_007_01.grade,I_007_01.cilo,I_007_01.ciup,I_007_01.N,I_007_01.start,I_007_01.end,I_008_01,I_008_01.note,I_008_01.denom,I_008_01.numer,I_008_01.start,I_008_01.end,I_013_01,I_013_01.note,I_013_01.denom,I_013_01.numer,I_013_01.start,I_013_01.end,I_014_01,I_014_01.note,I_014_01.cilo,I_014_01.ciup,I_014_01.grade,I_014_01.days,I_014_01.N,I_014_01.numer,I_014_01.start,I_014_01.end,I_015_01,I_015_01.note,I_015_01.cilo,I_015_01.ciup,I_015_01.grade,I_015_01.days,I_015_01.N,I_015_01.numer,I_015_01.start,I_015_01.end,I_016_01,I_016_01.note,I_016_01.denom,I_016_01.numer,I_016_01.start,I_016_01.end,I_019_01,I_019_01.note,I_019_01.cilo,I_019_01.ciup,I_019_01.obs,I_019_01.grade,I_019_01.numb,I_019_01.N,I_019_01.start,I_019_01.end,I_020_01,I_020_01.note,I_020_01.numb,I_020_01.start,I_020_01.end
190036,OCHSNER REHABILITATION CENTER,JEFFERSON,LA,70121,6,2018,130,0.43,0.82,0,0.31,7,N,0.07,0,1.36,,,,,,1.50,,242,5,2.10,1-Oct-16,30-Sep-17,87.30,,110,96,1-Oct-15,31-Mar-16,,7,,,,257,1,0,1-Oct-16,30-Sep-17,,,,,,,,,100.00,,243,243,1-Jan-17,31-Dec-17,0.40,,243,1,1-Jan-17,31-Dec-17,,7,,,,6681,0,0,1-Oct-16,30-Sep-17,0.00,,,0.87,Better than the National Benchmark,6681,3,0,1-Oct-16,30-Sep-17,98.00,,63,62,1-Oct-15,31-Mar-16,69.05,,68.57,69.54,65.88,Better than the National Rate,139,211,1-Oct-15,30-Sep-17,0.94,,202,1-Oct-15,30-Sep-17
190039,WEST JEFFERSON MEDICAL CENTER,MARRERO,LA,70072,6,2016,236,0.45,0.88,0,0.31,7,G,0.00,0,1.24,0.50,,272,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,1-Jan-15,31-Dec-15,12.81,,Better than the National Rate,12.60,13.03,368,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190039,WEST JEFFERSON MEDICAL CENTER,MARRERO,LA,70072,6,2017,187,0.44,0.87,0,0.30,7,N,0.00,0,1.34,0.70,,260,1-Jan-16,31-Dec-16,,,,,,,,87.80,,148,,1-Oct-15,31-Mar-16,,7,,,,313,1,1,1-Jan-16,31-Dec-16,12.96,,Better than the National Rate,12.72,13.19,324,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,6712,0,1,1-Jan-16,31-Dec-16,3.06,,1.12,6.78,Worse than the National Benchmark,6712,2,5,1-Jan-16,31-Dec-16,80.00,,97,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
190039,WEST JEFFERSON MEDICAL CENTER,MARRERO,LA,70072,6,2018,172,0.49,0.82,0,0.31,7,N,0.00,0,1.35,,,,,,0.90,,254,4,1.60,1-Oct-16,30-Sep-17,87.80,,148,130,1-Oct-15,31-Mar-16,,7,,,,216,1,2,1-Oct-16,30-Sep-17,,,,,,,,,100.00,,253,253,1-Jan-17,31-Dec-17,0.40,,253,1,1-Jan-17,31-Dec-17,,7,,,,6601,0,0,1-Oct-16,30-Sep-17,1.17,,0.30,3.19,No Different than the National Benchmark,6601,3,3,1-Oct-16,30-Sep-17,80.00,,97,78,1-Oct-15,31-Mar-16,63.05,,62.67,63.44,59.68,Worse than the National Rate,148,248,1-Oct-15,30-Sep-17,1.10,,237,1-Oct-15,30-Sep-17
190040,SLIDELL MEMORIAL HOSPITAL,SLIDELL,LA,70458,6,2016,83,0.40,0.88,0,0.18,7,G,0.00,0,1.27,0.00,,90,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,1-Jan-15,31-Dec-15,14.23,,Worse than the National Rate,13.93,14.55,135,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190040,SLIDELL MEMORIAL HOSPITAL,SLIDELL,LA,70458,6,2017,67,0.36,0.87,0,0.13,7,G,0.00,0,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190040,SLIDELL MEMORIAL HOSPITAL,SLIDELL,LA,70458,6,2018,41,0.36,0.82,0,0.18,7,G,0.00,0,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190041,CHRISTUS SCHUMPERT HEALTH SYSTEM,SHREVEPORT,LA,71101,6,2016,215,0.39,0.83,0,0.12,7,N,0.00,0,1.09,0.00,,250,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,4,,,,,,,1-Jan-15,31-Dec-15,13.14,,No Different than the National Rate,12.92,13.35,311,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190041,CHRISTUS SCHUMPERT HEALTH SYSTEM,SHREVEPORT,LA,71101,6,2017,265,0.43,0.83,0,0.17,7,N,0.00,0,1.15,0.60,,255,1-Jan-16,31-Dec-16,,,,,,,,71.70,,127,,1-Oct-15,31-Mar-16,,7,,,,468,1,1,1-Jan-16,31-Dec-16,14.15,,Worse than the National Rate,13.91,14.38,344,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,4326,0,0,1-Jan-16,31-Dec-16,0.80,,0.04,3.93,No Different than the National Benchmark,4326,1,1,1-Jan-16,31-Dec-16,100.00,,47,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
190041,CHRISTUS SCHUMPERT HEALTH SYSTEM,SHREVEPORT,LA,71101,6,2018,237,0.38,0.93,0,0.15,7,N,0.00,0,1.15,,,,,,0.00,,223,0,0.00,1-Oct-16,30-Sep-17,71.70,,127,91,1-Oct-15,31-Mar-16,,7,,,,315,1,1,1-Oct-16,30-Sep-17,,,,,,,,,100.00,,192,192,1-Jan-17,31-Dec-17,0.00,,192,0,1-Jan-17,31-Dec-17,,7,,,,4122,0,0,1-Oct-16,30-Sep-17,0.00,,,1.77,No Different than the National Benchmark,4122,2,0,1-Oct-16,30-Sep-17,100.00,,47,47,1-Oct-15,31-Mar-16,62.80,,62.41,63.16,67.34,Worse than the National Rate,235,349,1-Oct-15,30-Sep-17,1.05,,339,1-Oct-15,30-Sep-17
190045,ST TAMMANY PARISH HOSPITAL,COVINGTON,LA,70433,6,2016,109,0.49,0.88,0,0.05,7,G,0.00,0,1.21,0.80,,132,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,1-Jan-15,31-Dec-15,12.39,,Better than the National Rate,12.13,12.66,154,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190045,ST TAMMANY PARISH HOSPITAL,COVINGTON,LA,70433,6,2017,91,0.49,0.87,0,0.02,7,G,0.00,0,1.16,0.70,,120,1-Jan-16,31-Dec-16,,,,,,,,100.00,,62,,1-Oct-15,31-Mar-16,,7,,,,157,0,0,1-Jan-16,31-Dec-16,13.42,,No Different than the National Rate,13.20,13.62,147,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,2969,0,0,1-Jan-16,31-Dec-16,,7,,,,2969,1,2,1-Jan-16,31-Dec-16,94.00,,510,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
190045,ST TAMMANY PARISH HOSPITAL,COVINGTON,LA,70433,6,2018,66,0.58,0.82,0,0.05,7,G,0.00,0,1.21,,,,,,0.00,,133,0,0.00,1-Oct-16,30-Sep-17,100.00,,62,62,1-Oct-15,31-Mar-16,,7,,,,115,0,0,1-Oct-16,30-Sep-17,,,,,,,,,99.20,,130,129,1-Jan-17,31-Dec-17,0.00,,130,0,1-Jan-17,31-Dec-17,,7,,,,2903,0,1,1-Oct-16,30-Sep-17,0.82,,0.04,4.03,No Different than the National Benchmark,2903,1,1,1-Oct-16,30-Sep-17,94.00,,510,477,1-Oct-15,31-Mar-16,71.59,,71.05,72.03,78.70,Better than the National Rate,85,108,1-Oct-15,30-Sep-17,1.01,,110,1-Oct-15,30-Sep-17
190046,TOURO REHABILITATION CENTER,NEW ORLEANS,LA,70115,6,2016,158,0.25,0.88,0,0.56,7,N,0.00,0,1.59,3.10,,246,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,4,,,,,,,1-Jan-15,31-Dec-15,13.51,,Worse than the National Rate,13.26,13.76,184,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190046,TOURO REHABILITATION CENTER,NEW ORLEANS,LA,70115,6,2017,159,0.27,0.87,0,0.53,7,N,0.07,0,1.61,1.00,,289,1-Jan-16,31-Dec-16,,,,,,,,95.10,,144,,1-Oct-15,31-Mar-16,1.52,,0.48,3.66,No Different than the National Benchmark,968,3,4,1-Jan-16,31-Dec-16,13.55,,No Different than the National Rate,13.32,13.76,189,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,15334,0,1,1-Jan-16,31-Dec-16,3.04,,1.77,4.90,Worse than the National Benchmark,15334,5,15,1-Jan-16,31-Dec-16,91.00,,138,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
190046,TOURO REHABILITATION CENTER,NEW ORLEANS,LA,70115,6,2018,164,0.28,0.82,0,0.46,7,N,0.07,0,1.56,,,,,,1.80,,284,8,2.80,1-Oct-16,30-Sep-17,95.10,,144,137,1-Oct-15,31-Mar-16,1.41,,0.45,3.40,No Different than the National Benchmark,1043,3,4,1-Oct-16,30-Sep-17,,,,,,,,,99.30,,268,266,1-Jan-17,31-Dec-17,0.00,,268,0,1-Jan-17,31-Dec-17,,7,,,,14944,0,0,1-Oct-16,30-Sep-17,2.08,,1.23,3.30,Worse than the National Benchmark,14944,8,16,1-Oct-16,30-Sep-17,91.00,,138,126,1-Oct-15,31-Mar-16,62.69,,62.25,63.09,53.62,Worse than the National Rate,126,235,1-Oct-15,30-Sep-17,1.12,,221,1-Oct-15,30-Sep-17
190060,LAKE CHARLES MEMORIAL HOSPITAL,LAKE CHARLES,LA,70601,6,2016,177,0.45,0.75,0,0.21,7,N,0.00,0,1.38,1.40,,209,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,4,,,,,,,1-Jan-15,31-Dec-15,12.81,,Better than the National Rate,12.62,13.02,288,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190060,LAKE CHARLES MEMORIAL HOSPITAL,LAKE CHARLES,LA,70601,6,2017,215,0.46,0.76,0,0.16,7,N,0.00,0,1.34,0.70,,241,1-Jan-16,31-Dec-16,,,,,,,,61.10,,95,,1-Oct-15,31-Mar-16,,7,,,,277,1,3,1-Jan-16,31-Dec-16,13.58,,No Different than the National Rate,13.35,13.77,314,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,5014,0,0,1-Jan-16,31-Dec-16,3.01,,0.96,7.25,No Different than the National Benchmark,5014,1,4,1-Jan-16,31-Dec-16,100.00,,46,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
190060,LAKE CHARLES MEMORIAL HOSPITAL,LAKE CHARLES,LA,70601,6,2018,203,0.48,0.75,0,0.13,7,N,0.00,0,1.37,,,,,,1.20,,282,5,1.80,1-Oct-16,30-Sep-17,61.10,,95,58,1-Oct-15,31-Mar-16,4.56,,1.67,10.11,Worse than the National Benchmark,402,1,5,1-Oct-16,30-Sep-17,,,,,,,,,100.00,,279,279,1-Jan-17,31-Dec-17,0.00,,279,0,1-Jan-17,31-Dec-17,,7,,,,5522,0,0,1-Oct-16,30-Sep-17,3.24,,1.42,6.41,Worse than the National Benchmark,5522,2,7,1-Oct-16,30-Sep-17,100.00,,46,46,1-Oct-15,31-Mar-16,71.98,,71.53,72.44,74.81,Better than the National Rate,291,389,1-Oct-15,30-Sep-17,1.05,,367,1-Oct-15,30-Sep-17
190064,OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER,BATON ROUGE,LA,70808,6,2016,166,0.76,0.80,0,0.33,7,N,0.00,0,1.39,1.70,,213,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,4,,,,,,,1-Jan-15,31-Dec-15,13.23,,No Different than the National Rate,13.01,13.45,303,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190064,OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER,BATON ROUGE,LA,70808,6,2017,159,0.56,0.81,0,0.22,7,N,0.00,0,1.45,1.80,,220,1-Jan-16,31-Dec-16,,,,,,,,100.00,,114,,1-Oct-15,31-Mar-16,,7,,,,258,1,0,1-Jan-16,31-Dec-16,14.04,,Worse than the National Rate,13.79,14.26,262,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,6259,0,0,1-Jan-16,31-Dec-16,1.18,,0.20,3.89,No Different than the National Benchmark,6259,2,2,1-Jan-16,31-Dec-16,89.00,,97,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
190064,OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER,BATON ROUGE,LA,70808,6,2018,159,0.57,0.80,0,0.23,7,N,0.00,0,1.30,,,,,,1.40,,209,4,1.90,1-Oct-16,30-Sep-17,100.00,,114,114,1-Oct-15,31-Mar-16,,7,,,,132,0,0,1-Oct-16,30-Sep-17,,,,,,,,,100.00,,211,211,1-Jan-17,31-Dec-17,0.00,,211,0,1-Jan-17,31-Dec-17,,7,,,,6066,0,0,1-Oct-16,30-Sep-17,0.00,,,1.17,No Different than the National Benchmark,6066,3,0,1-Oct-16,30-Sep-17,89.00,,97,86,1-Oct-15,31-Mar-16,68.98,,68.55,69.38,69.08,Better than the National Rate,172,249,1-Oct-15,30-Sep-17,1.05,,230,1-Oct-15,30-Sep-17
190065,BATON ROUGE GENERAL MEDICAL CENTER,BATON ROUGE,LA,70806,6,2016,108,0.49,0.80,0,0.41,7,N,0.00,0,1.24,0.00,,72,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,1-Jan-15,31-Dec-15,14.04,,Worse than the National Rate,13.77,14.32,179,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190065,BATON ROUGE GENERAL MEDICAL CENTER,BATON ROUGE,LA,70806,6,2017,55,0.64,0.81,0,0.22,7,N,0.00,0,1.46,0.00,,68,1-Jan-16,31-Dec-16,,,,,,,,100.00,,46,,1-Oct-15,31-Mar-16,,7,,,,94,0,1,1-Jan-16,31-Dec-16,13.59,,No Different than the National Rate,13.36,13.81,112,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,1779,0,0,1-Jan-16,31-Dec-16,,7,,,,1779,0,0,1-Jan-16,31-Dec-16,100.00,,17,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
190065,BATON ROUGE GENERAL MEDICAL CENTER,BATON ROUGE,LA,70806,6,2018,58,0.64,0.80,0,0.33,7,N,0.00,0,1.40,,,,,,1.20,,57,1,1.80,1-Oct-16,30-Sep-17,100.00,,46,46,1-Oct-15,31-Mar-16,,7,,,,121,0,0,1-Oct-16,30-Sep-17,,,,,,,,,100.00,,60,60,1-Jan-17,31-Dec-17,0.00,,60,0,1-Jan-17,31-Dec-17,,7,,,,1787,0,0,1-Oct-16,30-Sep-17,,7,,,,1787,1,1,1-Oct-16,30-Sep-17,100.00,,17,17,1-Oct-15,31-Mar-16,62.79,,62.34,63.24,53.33,Worse than the National Rate,40,75,1-Oct-15,30-Sep-17,1.11,,79,1-Oct-15,30-Sep-17
190102,OUR LADY OF LOURDES REGIONAL MEDICAL CTR,LAFAYETTE,LA,70508,6,2016,315,0.58,0.79,0,0.09,7,N,0.00,0,1.30,2.40,,167,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,1-Jan-15,31-Dec-15,13.08,,No Different than the National Rate,12.89,13.29,365,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190102,OUR LADY OF LOURDES REGIONAL MEDICAL CTR,LAFAYETTE,LA,70508,6,2017,442,0.53,0.80,0,0.10,7,N,0.00,0,1.43,0.60,,137,1-Jan-16,31-Dec-16,,,,,,,,98.30,,58,,1-Oct-15,31-Mar-16,,7,,,,128,0,1,1-Jan-16,31-Dec-16,13.32,,No Different than the National Rate,13.09,13.51,314,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,3175,0,1,1-Jan-16,31-Dec-16,,7,,,,3175,1,2,1-Jan-16,31-Dec-16,78.00,,143,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
190102,OUR LADY OF LOURDES REGIONAL MEDICAL CTR,LAFAYETTE,LA,70508,6,2018,267,0.57,0.78,0,0.17,7,N,0.00,0,1.29,,,,,,2.00,,185,6,3.20,1-Oct-16,30-Sep-17,98.30,,58,57,1-Oct-15,31-Mar-16,,7,,,,158,0,1,1-Oct-16,30-Sep-17,,,,,,,,,100.00,,193,193,1-Jan-17,31-Dec-17,0.50,,193,1,1-Jan-17,31-Dec-17,,7,,,,4168,0,1,1-Oct-16,30-Sep-17,0.56,,0.03,2.78,No Different than the National Benchmark,4168,2,1,1-Oct-16,30-Sep-17,78.00,,143,112,1-Oct-15,31-Mar-16,65.57,,65.15,65.96,68.95,Better than the National Rate,171,248,1-Oct-15,30-Sep-17,1.14,,21,1-Oct-15,30-Sep-17
190111,WILLIS-KNIGHTON MEDICAL CENTER,SHREVEPORT,LA,71103,6,2016,224,0.29,0.83,0,0.15,7,N,0.00,0,1.27,2.90,,294,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,4,,,,,,,1-Jan-15,31-Dec-15,14.31,,Worse than the National Rate,14.02,14.60,386,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190111,WILLIS-KNIGHTON MEDICAL CENTER,SHREVEPORT,LA,71103,6,2017,265,0.56,0.83,0,0.09,7,N,0.00,0,1.30,1.80,,340,1-Jan-16,31-Dec-16,,,,,,,,100.00,,175,,1-Oct-15,31-Mar-16,0.19,,0.01,0.92,Better than the National Benchmark,1972,5,1,1-Jan-16,31-Dec-16,13.28,,No Different than the National Rate,13.06,13.48,413,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,7496,0,0,1-Jan-16,31-Dec-16,0.51,,0.03,2.49,No Different than the National Benchmark,7496,2,1,1-Jan-16,31-Dec-16,76.00,,76,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
190111,WILLIS-KNIGHTON MEDICAL CENTER,SHREVEPORT,LA,71103,6,2018,281,0.42,0.93,0,0.08,7,N,0.00,0,1.36,,,,,,1.00,,355,5,1.40,1-Oct-16,30-Sep-17,100.00,,175,175,1-Oct-15,31-Mar-16,0.26,,0.01,1.29,No Different than the National Benchmark,1399,4,1,1-Oct-16,30-Sep-17,,,,,,,,,100.00,,363,363,1-Jan-17,31-Dec-17,0.00,,363,0,1-Jan-17,31-Dec-17,,7,,,,7792,0,0,1-Oct-16,30-Sep-17,0.30,,0.02,1.50,No Different than the National Benchmark,7792,3,1,1-Oct-16,30-Sep-17,76.00,,76,58,1-Oct-15,31-Mar-16,66.08,,65.68,66.52,65.67,Better than the National Rate,331,504,1-Oct-15,30-Sep-17,1.12,,482,1-Oct-15,30-Sep-17
190115,DO,SHREVEPORT,LA,71101,6,2016,,,,,,,,,,,,5,,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,1-Jan-15,31-Dec-15,,2,,,,,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190125,ST. FRANCIS MEDICAL CENTER ACUTE REHAB,MONROE,LA,71201,6,2016,83,0.43,0.74,0,0.17,7,N,0.00,0,1.39,1.90,,109,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,1-Jan-15,31-Dec-15,13.70,,Worse than the National Rate,13.45,13.97,141,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190125,ST. FRANCIS MEDICAL CENTER ACUTE REHAB,MONROE,LA,71201,6,2017,84,0.44,0.76,0,0.15,7,N,0.00,0,1.38,0.00,,110,1-Jan-16,31-Dec-16,,,,,,,,94.50,,55,,1-Oct-15,31-Mar-16,,7,,,,149,0,2,1-Jan-16,31-Dec-16,13.70,,Worse than the National Rate,13.47,13.91,130,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,2560,0,0,1-Jan-16,31-Dec-16,,7,,,,2560,0,0,1-Jan-16,31-Dec-16,60.00,,25,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
190125,ST. FRANCIS MEDICAL CENTER ACUTE REHAB,MONROE,LA,71201,6,2018,80,0.42,0.77,0,0.12,7,N,0.00,0,1.35,,,,,,0.00,,103,0,0.00,1-Oct-16,30-Sep-17,94.50,,55,52,1-Oct-15,31-Mar-16,,2,,,,0,,,1-Oct-16,30-Sep-17,,,,,,,,,100.00,,105,105,1-Jan-17,31-Dec-17,0.00,,105,0,1-Jan-17,31-Dec-17,,7,,,,2669,0,0,1-Oct-16,30-Sep-17,,,,,,2669,,,1-Oct-16,30-Sep-17,60.00,,25,15,1-Oct-15,31-Mar-16,59.45,,59.02,59.89,54.29,Worse than the National Rate,57,105,1-Oct-15,30-Sep-17,1.03,,112,1-Oct-15,30-Sep-17
190140,FRANKLIN MEDICAL CENTER,WINNSBORO,LA,71295,6,2017,,,,,,,,,,,,,,1-Jan-16,31-Dec-16,,,,,,,,,,,,1-Oct-15,31-Mar-16,,5,,,,,,,1-Jan-16,31-Dec-16,,2,,,,,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,5,,,,,,,1-Jan-16,31-Dec-16,,5,,,,,,,1-Jan-16,31-Dec-16,,5,,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
190140,FRANKLIN MEDICAL CENTER,WINNSBORO,LA,71295,6,2018,,,,,,,,,,,,,,,,,,,,,1-Oct-16,30-Sep-17,,,,,1-Oct-15,31-Mar-16,,,,,,,,,1-Oct-16,30-Sep-17,,,,,,,,,,,,,1-Jan-17,31-Dec-17,,,,,1-Jan-17,31-Dec-17,,,,,,,,,1-Oct-16,30-Sep-17,,,,,,,,,1-Oct-16,30-Sep-17,,,,,1-Oct-15,31-Mar-16,,,,,,,,,1-Oct-15,30-Sep-17,,2,,1-Oct-15,30-Sep-17
190144,MINDEN MEDICAL CENTER REHAB,MINDEN,LA,71055,6,2016,77,0.36,0.80,0,0.33,7,P,0.00,0,1.24,0.00,,80,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,1-Jan-15,31-Dec-15,13.02,,No Different than the National Rate,12.81,13.25,124,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190144,MINDEN MEDICAL CENTER REHAB,MINDEN,LA,71055,6,2017,61,0.41,0.83,0,0.27,7,P,0.00,0,1.37,0.00,,72,1-Jan-16,31-Dec-16,,,,,,,,100.00,,45,,1-Oct-15,31-Mar-16,,7,,,,213,0,0,1-Jan-16,31-Dec-16,13.36,,No Different than the National Rate,13.12,13.57,116,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,1434,0,0,1-Jan-16,31-Dec-16,,7,,,,1434,0,0,1-Jan-16,31-Dec-16,92.00,,85,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
190144,MINDEN MEDICAL CENTER REHAB,MINDEN,LA,71055,6,2018,67,0.37,0.93,0,0.30,7,P,0.00,0,1.29,,,,,,0.00,,62,0,0.00,1-Oct-16,30-Sep-17,100.00,,45,45,1-Oct-15,31-Mar-16,,7,,,,274,1,0,1-Oct-16,30-Sep-17,,,,,,,,,100.00,,59,59,1-Jan-17,31-Dec-17,0.00,,59,0,1-Jan-17,31-Dec-17,,7,,,,1417,0,0,1-Oct-16,30-Sep-17,,7,,,,1417,0,0,1-Oct-16,30-Sep-17,92.00,,85,78,1-Oct-15,31-Mar-16,57.97,,57.52,58.45,56.44,Worse than the National Rate,57,101,1-Oct-15,30-Sep-17,1.23,,103,1-Oct-15,30-Sep-17
190146,EAST JEFFERSON GENERAL HOSPITAL,METAIRIE,LA,70006,6,2016,235,0.54,0.88,0,0.10,7,G,0.00,0,1.20,4.50,,284,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,1-Jan-15,31-Dec-15,14.65,,Worse than the National Rate,14.32,14.97,367,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190146,EAST JEFFERSON GENERAL HOSPITAL,METAIRIE,LA,70006,6,2017,191,0.57,0.87,0,0.10,7,G,0.00,0,1.25,2.90,,270,1-Jan-16,31-Dec-16,,,,,,,,98.10,,155,,1-Oct-15,31-Mar-16,,7,,,,315,1,1,1-Jan-16,31-Dec-16,13.26,,No Different than the National Rate,13.04,13.47,343,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,4581,0,0,1-Jan-16,31-Dec-16,,7,,,,4581,1,1,1-Jan-16,31-Dec-16,81.00,,273,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
190146,EAST JEFFERSON GENERAL HOSPITAL,METAIRIE,LA,70006,6,2018,179,0.61,0.82,0,0.09,7,G,0.00,0,1.25,,,,,,1.30,,245,4,1.60,1-Oct-16,30-Sep-17,98.10,,155,152,1-Oct-15,31-Mar-16,,7,,,,152,0,1,1-Oct-16,30-Sep-17,,,,,,,,,100.00,,241,241,1-Jan-17,31-Dec-17,0.40,,241,1,1-Jan-17,31-Dec-17,,7,,,,4207,0,0,1-Oct-16,30-Sep-17,0.00,,,2.26,No Different than the National Benchmark,4207,1,0,1-Oct-16,30-Sep-17,81.00,,273,222,1-Oct-15,31-Mar-16,68.93,,68.52,69.34,66.80,Better than the National Rate,169,253,1-Oct-15,30-Sep-17,1.01,,249,1-Oct-15,30-Sep-17
190160,GLENWOOD REHABILITATION CENTER,WEST MONROE,LA,71291,6,2016,73,0.29,0.74,0,0.34,7,P,0.00,0,1.25,0.00,,103,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,1-Jan-15,31-Dec-15,13.34,,Worse than the National Rate,13.12,13.58,121,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
